PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
1,0,1.6600912204564573,14.508232235464494,3.679107929420984
5,1,1.8400479552048672,14.464238533329274,3.4483785113457412
8,2,2.311632043737347,14.416898318606622,3.172266424711335
11,3,2.8678021142756727,14.444240351244522,3.1050229069386854
14,4,3.3392431448947573,14.477069840109515,3.1030803575084724
16,5,3.721957313946551,14.523774627476323,3.174264486291296
19,6,4.034140188849787,14.571182568529112,3.2792597015203166
22,7,4.222115027485306,14.624328128512062,3.348889382293031
25,8,4.2555526816508555,14.714566724115803,3.408648807897406
28,9,4.198025438308498,14.784748890683483,3.471991859339243
32,10,4.077303235661238,14.880099428676349,3.5942613196917925
36,11,3.945818233017614,14.947297871164437,3.696191709674333
39,12,3.8633608691741923,14.959982103576182,3.7652854726306475
42,13,3.811700314261081,14.92480854817711,3.8528015752436566
45,14,3.799379099038989,14.837657173442876,3.9334801208496453
48,15,3.7999996188112304,14.780004217663478,4.043797526825793
50,16,3.80059368933476,14.739926503462454,4.130591245404382
53,17,3.785765176351499,14.749216048761706,4.148389939622791
56,18,3.7549282185630166,14.71160113257887,4.09152290228209
60,19,3.7073441297016125,14.597162234147124,3.9549767252891694
62,20,3.6105866834401557,14.470515449040434,3.8283623489417855
65,21,3.5359910702803714,14.327138004252934,3.754873640113004
68,22,3.579579214847276,14.296453596544216,3.6889102927191777
71,23,3.6980362592760403,14.355640659445504,3.6616258379733906
74,24,3.682535702574259,14.439224795580316,3.7029622740314054
77,25,3.4889627576258126,14.640743915491111,3.7788334589876995
81,26,3.285718139794828,14.95769922913965,3.82891614546168
84,27,3.1881158980054063,15.191172851036157,3.831988721076357
87,28,3.190557410840841,15.173161921640762,3.7987543132569104
90,29,3.3037470239959923,15.003111302323427,3.7000400318499134
93,30,3.5902410074191318,14.834206065189575,3.6177426401990758
96,31,3.9368481032901252,14.711531938550898,3.582654772387149
99,32,4.169660151585487,14.571841492300099,3.522231258823846
102,33,4.053850315693582,14.451764196652155,3.501773652883718
105,34,3.3047024610307143,14.412741884927458,3.6043683648845097
108,35,2.1279604068671674,14.414328250569307,3.9072826922199346
111,36,1.1501226927779027,14.460379929644581,4.8460485992734395

