Force,Intensity,Relative intensity (%),Min force (pN),Max force (pN)
5,4.575804776739356,100.0,2.5,7.5
10,4.522666666666667,98.83871553387043,7.5,12.5
15,4.711775043936731,102.97150498833705,12.5,17.5
20,4.864347826086957,106.30584265339247,17.5,22.5
25,4.68448275862069,102.37505722345908,22.5,27.5
30,4.721843003412969,103.19153097212504,27.5,32.5
35,4.291666666666667,93.79042323839782,32.5,37.5
40,4.476510067114094,97.83000555159134,37.5,42.5
45,4.485523385300668,98.02698332110617,42.5,47.5
50,4.311774461028192,94.22986056893564,47.5,52.5
55,4.181818181818182,91.38978575038941,52.5,57.5
60,2.7720234917245063,60.5800209356791,57.5,62.5
65,1.162554489658712,25.406557892688976,62.5,67.5
