PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
1,0,40.79015306959143,76.44887252258489,1.200000000414976
5,1,31.21759123901083,76.24003377120539,1.5685779376698925
8,2,42.04150333308392,76.59621614334196,1.2662559530049458
12,3,22.582861445392187,76.7248298752811,1.704954825730029
14,4,34.93867991068068,76.49141456950929,1.2596494190699363
17,5,32.40344806976643,76.74746058037805,1.2000000000000002
19,6,45.27583458640766,76.64916184362266,1.3187831585652012
24,7,25.244991995434813,76.88435628820736,1.5597893470607984
26,8,34.59553494301554,76.5431972217011,1.2537112373519341
30,9,30.342155671560388,76.43941878116496,1.4346520208195648
33,10,25.729911180535904,76.46710364876328,1.6350204239524082
35,11,23.151003521754493,75.50962527633008,1.3039147368233965
39,12,27.287550411915014,76.44113118581951,1.6908962732028991
42,13,17.68134576707693,75.79377507461588,1.4537796067328113
44,14,33.74135452279767,76.10178681247126,1.55139185681509
48,15,30.8750761381756,76.32882021206284,1.4741923483940647
51,16,31.225400410630026,76.15632975299035,1.4926542028611942
54,17,30.176896420681825,76.5294454940999,1.2754002838507983
55,18,45.38409330228232,75.93672569455968,1.4572201319931084
60,19,31.019087289201618,76.02294503865777,1.712050761378991
62,20,29.23332783743941,76.36597537029246,1.346848495416315
64,21,51.335016494324975,76.05965836790793,1.2000000000120008
67,22,30.565088220649088,75.44080364016392,1.2327953915122445
70,23,45.15756505699815,76.09283915363638,1.4734867385864747
73,24,35.68230809039514,75.20155448288817,1.388694765026127
78,25,33.87820744002991,75.52994167865761,1.681192415885434
81,26,23.999375617807043,75.2645956571364,1.4868417832252123
83,27,32.852525665546516,75.442744645157,1.3772488102543792
86,28,26.620831712702536,75.58428183826108,1.4758587257940483
89,29,24.689382098444423,75.92491338103954,1.3402491055091779
93,30,23.674736660877272,75.48492866491118,1.3852717428877297
96,31,24.722291913576132,75.47375083461698,1.7383959138304017
97,32,43.70936041543979,75.27458236489242,1.2502038028810152
101,33,29.27100102900646,75.51038990061605,1.2000000000004996
104,34,38.617552621064476,75.46558124376132,1.2576342240404321
106,35,43.77299264303903,75.67931105657276,1.3788750003884198
111,36,26.26775397396411,75.5367531093058,1.7598500930228813
113,37,34.11655155109463,75.38412101119613,1.3511405692514518
117,38,16.13834402275051,76.41851187877803,1.2416971344385166
120,39,17.715801334992573,75.140321507746,1.5949532972732767
121,40,39.942824701928544,75.71412557906507,1.2000000000000002
126,41,35.69377046493467,75.6168474243682,1.324474144817725
129,42,29.09484345056557,75.53976546257324,1.6213653986405194
131,43,42.05788195244079,75.55526697637,1.3243105939799453
133,44,27.32427064114471,75.36337502315817,1.3183855969033402
138,45,25.20587878023081,74.83112060137086,1.4498291966081642
140,46,31.941647081543405,74.6787599546918,1.3359477152497437
144,47,20.853427440564435,74.78816870317006,1.589557166325921
147,48,41.42911380126941,74.90785725665116,1.2193258861555127
149,49,44.1266936007164,74.62264451066932,1.3585473388911062
151,50,40.35230507045098,74.76636094804343,1.4388196316062862
155,51,31.91598244155764,74.99122965766776,1.3579934648846366
158,52,45.06717663648644,74.8424675905698,1.361755557593921
161,53,38.38479419847181,74.92532942503229,1.499100839199955
165,54,30.385840693588808,75.08577946388182,1.489237827670579
168,55,36.559613281370474,74.99144538785528,1.349605650641243
169,56,48.875423035631265,75.0389585249605,1.2000000000000002
173,57,26.864563861557087,74.776313314939,1.3564909116918624
177,58,25.09438380665249,75.25407226501508,1.512342203264447
180,59,12.506377497784275,75.5810065307721,1.4131270951841872
183,60,16.314366502751547,74.92547918472293,1.6603523528773896
